date,adj_close
2024-01-02,97.83509826660156
2024-01-03,96.99111938476562
2024-01-04,96.87603759765625
2024-01-05,96.99111938476562
2024-01-08,98.16120147705078
2024-01-09,97.6816635131836
2024-01-10,98.16120147705078
2024-01-11,98.12283325195312
2024-01-12,98.27628326416016
2024-01-16,97.32679748535156
2024-01-17,96.5595474243164
2024-01-18,97.38436126708984
2024-01-19,98.2667007446289
2024-01-22,98.49686431884766
2024-01-23,98.65032958984375
2024-01-24,98.90927124023438
2024-01-25,99.34086608886719
2024-01-26,99.40799713134766
2024-01-29,100.11770629882812
2024-01-30,99.88753509521484
2024-01-31,98.66950988769531
2024-02-01,99.8204116821289
2024-02-02,100.19442749023438
2024-02-05,99.71489715576172
2024-02-06,100.27116394042969
2024-02-07,100.77947998046875
2024-02-08,100.81783294677734
2024-02-09,101.37409210205078
2024-02-12,101.50836181640625
2024-02-13,99.90670776367188
2024-02-14,101.01923370361328
2024-02-15,101.88240814208984
2024-02-16,101.64263153076172
2024-02-20,101.36450958251953
2024-02-21,101.3932876586914
2024-02-22,103.04287719726562
2024-02-23,103.11961364746094
2024-02-26,102.85106658935547
2024-02-27,103.07166290283203
2024-02-28,102.67842864990234
2024-02-29,103.1004409790039
2024-03-01,104.0211410522461
2024-03-04,103.85809326171875
2024-03-05,103.06207275390625
2024-03-06,103.8868637084961
2024-03-07,104.9514389038086
2024-03-08,104.45272827148438
2024-03-11,104.21295166015625
2024-03-12,105.21998596191406
2024-03-13,105.04735565185547
2024-03-14,104.57740020751953
2024-03-15,104.11622619628906
2024-03-18,104.5013427734375
2024-03-19,104.8671875
2024-03-20,105.90701293945312
2024-03-21,106.2247314453125
2024-03-22,105.89738464355469
2024-03-25,105.68556213378906
2024-03-26,105.56040954589844
2024-03-27,106.34991455078125
2024-03-28,106.38841247558594
2024-04-01,106.10921478271484
2024-04-02,105.49301147460938
2024-04-03,105.7625961303711
2024-04-04,104.67464447021484
2024-04-05,105.53153228759766
2024-04-08,105.7625961303711
2024-04-09,105.92626953125
2024-04-10,104.71316528320312
2024-04-11,105.31008911132812
2024-04-12,103.60594177246094
2024-04-15,102.6335220336914
2024-04-16,102.04621887207031
2024-04-17,101.6611099243164
2024-04-18,101.5070571899414
2024-04-19,101.03528594970703
2024-04-22,101.97881317138672
2024-04-23,103.14380645751953
2024-04-24,103.11491394042969
2024-04-25,102.7875747680664
2024-04-26,103.71185302734375
2024-04-29,104.16436767578125
2024-04-30,102.57576751708984
2024-05-01,102.3832015991211
2024-05-02,103.63483428955078
2024-05-03,104.74202728271484
2024-05-06,105.67594909667969
2024-05-07,105.70481872558594
2024-05-08,105.63743591308594
2024-05-09,106.2921371459961
2024-05-10,106.46544647216797
2024-05-13,106.44617462158203
2024-05-14,107.10086822509766
2024-05-15,108.3428726196289
2024-05-16,107.99627685546875
2024-05-17,108.29473876953125
2024-05-20,108.36213684082031
2024-05-21,108.35250091552734
2024-05-22,107.80371856689453
2024-05-23,107.03348541259766
2024-05-24,107.82295989990234
2024-05-28,107.73631286621094
2024-05-29,106.56171417236328
2024-05-30,106.49432373046875
2024-05-31,107.29341888427734
2024-06-03,107.39935302734375
2024-06-04,107.18753051757812
2024-06-05,108.29473876953125
2024-06-06,108.37176513671875
2024-06-07,107.84222412109375
2024-06-10,108.09254455566406
2024-06-11,107.90962219238281
2024-06-12,108.95905303955078
2024-06-13,108.57394409179688
2024-06-14,108.22734069824219
2024-06-17,108.93017578125
2024-06-18,109.28641510009766
2024-06-20,109.09385681152344
2024-06-21,108.80159759521484
2024-06-24,108.917724609375
2024-06-25,109.13062286376953
2024-06-26,108.96611785888672
2024-06-27,109.1693344116211
2024-06-28,108.99514770507812
2024-07-01,109.14030456542969
2024-07-02,109.6531982421875
2024-07-03,110.49510955810547
2024-07-05,111.00802612304688
2024-07-08,110.97897338867188
2024-07-09,110.95963287353516
2024-07-10,112.1305923461914
2024-07-11,111.90799713134766
2024-07-12,112.6628189086914
2024-07-15,112.63379669189453
2024-07-16,113.46603393554688
2024-07-17,112.06285095214844
2024-07-18,111.1144790649414
2024-07-19,110.37899780273438
2024-07-22,111.48219299316406
2024-07-23,111.13382720947266
2024-07-24,108.99514770507812
2024-07-25,108.62739562988281
2024-07-26,109.87577819824219
2024-07-29,109.73062133789062
2024-07-30,109.44996643066406
2024-07-31,111.15316772460938
2024-08-01,109.14030456542969
2024-08-02,107.1371078491211
2024-08-05,104.24359893798828
2024-08-06,105.02745056152344
2024-08-07,104.7564926147461
2024-08-08,106.991943359375
2024-08-09,107.43709564208984
2024-08-12,107.45646667480469
2024-08-13,109.13062286376953
2024-08-14,109.40159606933594
2024-08-15,111.01769256591797
2024-08-16,111.45317077636719
2024-08-19,112.5950927734375
2024-08-20,112.28540802001953
2024-08-21,112.93379211425781
2024-08-22,111.98542785644531
2024-08-23,113.61119079589844
2024-08-26,113.088623046875
2024-08-27,113.41765594482422
2024-08-28,112.75960540771484
2024-08-29,112.92411041259766
2024-08-30,113.7466812133789
2024-09-03,111.51123046875
2024-09-04,111.26930236816406
2024-09-05,111.07575988769531
2024-09-06,109.18868255615234
2024-09-09,110.31124877929688
2024-09-10,110.42738342285156
2024-09-11,111.3273696899414
2024-09-12,112.28540802001953
2024-09-13,112.875732421875
2024-09-16,113.31120300292969
2024-09-17,113.24346923828125
2024-09-18,112.92411041259766
2024-09-19,114.92731475830078
2024-09-20,114.49710083007812
2024-09-23,114.86613464355469
2024-09-24,115.6430435180664
2024-09-25,115.070068359375
2024-09-26,116.49765014648438
2024-09-27,116.15774536132812
2024-09-30,116.2451400756836
2024-10-01,115.50707244873047
2024-10-02,115.68190002441406
2024-10-03,115.04093933105469
2024-10-04,116.06063079833984
2024-10-07,115.36141967773438
2024-10-08,115.5556411743164
2024-10-09,116.01207733154297
2024-10-10,115.82754516601562
2024-10-11,116.6238784790039
2024-10-14,117.20658111572266
2024-10-15,116.00236511230469
2024-10-16,116.57533264160156
2024-10-17,116.51707458496094
2024-10-18,117.09003448486328
2024-10-21,116.48793029785156
2024-10-22,116.20630645751953
2024-10-23,115.19631958007812
2024-10-24,115.49737548828125
2024-10-25,115.30314636230469
2024-10-28,115.9052505493164
2024-10-29,115.80814361572266
2024-10-30,115.38084411621094
2024-10-31,113.7104721069336
2024-11-01,114.16690826416016
2024-11-04,114.108642578125
2024-11-05,115.4876708984375
2024-11-06,117.00263214111328
2024-11-07,118.23596954345703
2024-11-08,117.90579223632812
2024-11-11,118.04175567626953
2024-11-12,117.0997543334961
2024-11-13,116.85696411132812
2024-11-14,116.25485229492188
2024-11-15,115.09918975830078
2024-11-18,115.77899169921875
2024-11-19,116.0800552368164
2024-11-20,116.05091857910156
2024-11-21,116.60447692871094
2024-11-22,117.10946655273438
2024-11-25,117.604736328125
2024-11-26,117.68243408203125
2024-11-27,117.53675842285156
2024-11-29,118.42050170898438
2024-12-02,118.67298126220703
2024-12-03,118.86721801757812
2024-12-04,119.352783203125
2024-12-05,119.37220764160156
2024-12-06,119.51787567138672
2024-12-09,119.27509307861328
2024-12-10,118.51760864257812
2024-12-11,119.42076873779297
2024-12-12,118.6147232055664
2024-12-13,118.47876739501953
2024-12-16,118.6341552734375
2024-12-17,118.13887023925781
2024-12-18,114.6524887084961
2024-12-19,114.633056640625
2024-12-20,115.55960845947266
2024-12-23,116.19557189941406
2024-12-24,117.11526489257812
2024-12-26,117.25224304199219
2024-12-27,116.33255004882812
2024-12-30,115.20738220214844
2024-12-31,114.94320678710938
2025-01-02,114.7083969116211
2025-01-03,115.89225769042969
2025-01-06,116.60650634765625
2025-01-07,115.4617691040039
2025-01-08,115.50090026855469
2025-01-10,113.65172576904297
2025-01-13,113.69085693359375
2025-01-14,114.08222198486328
2025-01-15,115.82378387451172
2025-01-16,115.931396484375
2025-01-17,116.9000244140625
2025-01-21,118.31871032714844
2025-01-22,118.62200927734375
2025-01-23,119.25798797607422
2025-01-24,119.26777648925781
2025-01-27,117.90778350830078
2025-01-28,118.67094421386719
2025-01-29,118.30892181396484
2025-01-30,119.30691528320312
2025-01-31,118.45569610595703
2025-02-03,117.52621459960938
2025-02-04,118.62200927734375
2025-02-05,119.2481918334961
2025-02-06,119.63955688476562
2025-02-07,118.67094421386719
2025-02-10,119.45366668701172
2025-02-11,119.52216339111328
2025-02-12,119.40474700927734
2025-02-13,120.69623565673828
2025-02-14,120.82343292236328
2025-02-18,121.2930679321289
2025-02-19,121.14630889892578
2025-02-20,120.97997283935547
2025-02-21,119.27755737304688
2025-02-24,118.69051361083984
2025-02-25,118.55353546142578
2025-02-26,118.72964477539062
2025-02-27,116.93916320800781
2025-02-28,117.96648406982422
2025-03-03,116.71412658691406
2025-03-04,115.8629150390625
2025-03-05,117.78059387207031
2025-03-06,116.02924346923828
2025-03-07,116.76304626464844
2025-03-10,113.7886962890625
2025-03-11,113.32884216308594
2025-03-12,113.94523620605469
2025-03-13,112.59503936767578
2025-03-14,114.93342590332031
2025-03-17,116.07816314697266
2025-03-18,115.24651336669922
2025-03-19,116.19557189941406
2025-03-20,115.69658660888672
2025-03-21,115.43646240234375
2025-03-24,116.89903259277344
2025-03-25,117.12480926513672
2025-03-26,115.84872436523438
2025-03-27,115.72112274169922
2025-03-28,113.68919372558594
2025-03-31,113.81681060791016
2025-04-01,114.1898193359375
2025-04-02,114.86712646484375
2025-04-03,110.3321304321289
2025-04-04,103.75538635253906
2025-04-07,102.50875091552734
2025-04-08,101.26211547851562
2025-04-09,109.91985321044922
2025-04-10,106.85725402832031
2025-04-11,109.06585693359375
2025-04-14,110.09654998779297
2025-04-15,110.20451354980469
2025-04-16,108.56523132324219
2025-04-17,109.13456726074219
2025-04-21,107.44621276855469
2025-04-22,109.792236328125
2025-04-23,111.19593811035156
2025-04-24,113.12969207763672
2025-04-25,113.6695785522461
2025-04-28,113.99349212646484
2025-04-29,114.51374816894531
2025-04-30,114.4548568725586
2025-05-01,114.86712646484375
2025-05-02,116.86959838867188
2025-05-05,116.6143798828125
2025-05-06,115.95670318603516
2025-05-07,116.03523254394531
2025-05-08,116.43769836425781
2025-05-09,116.60456848144531
2025-05-12,119.490478515625
2025-05-13,120.07943725585938
2025-05-14,120.07943725585938
2025-05-15,120.7567367553711
2025-05-16,121.34571075439453
2025-05-19,121.679443359375
2025-05-20,121.55184173583984
2025-05-21,120.03034973144531
2025-05-22,119.9420166015625
2025-05-23,119.66716766357422
2025-05-27,121.61073303222656
2025-05-28,120.77638244628906
2025-05-29,121.26716613769531
2025-05-30,121.10030364990234
2025-06-02,121.90522766113281
2025-06-03,122.2193374633789
2025-06-04,122.50399780273438
2025-06-05,122.17024993896484
2025-06-06,123.12240600585938
2025-06-09,123.32854461669922
2025-06-10,123.91749572753906
2025-06-11,123.68192291259766
2025-06-12,124.21198272705078
2025-06-13,122.65123748779297
2025-06-16,123.72117614746094
2025-06-17,122.5138168334961
2025-06-18,122.58251953125
2025-06-20,122.04498291015625
2025-06-23,123.20882415771484
2025-06-24,124.75731658935547
2025-06-25,124.54032897949219
2025-06-26,125.70416259765625
2025-06-27,126.24662780761719
2025-06-30,126.75951385498047
2025-07-01,126.76936340332031
2025-07-02,127.34143829345703
2025-07-03,128.01211547851562
2025-07-07,126.84827423095703
2025-07-08,127.11458587646484
2025-07-09,127.8740234375
2025-07-10,128.11073303222656
2025-07-11,127.46965026855469
2025-07-14,127.69650268554688
2025-07-15,127.04553985595703
2025-07-16,127.54856872558594
